fid,stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
72,"ZHP Ośrodek Szkoleniowo-Wypoczynkowy ""Perkoz""","11-015, Olsztynek, Waszeta 1, Leśnictwo Nowe Ramuki","Nowy Ramuk 19, 10-687 Olsztyn, Polska",Nadleśnictwo Nowe Ramuki,53.589541,20.381723
73,Stanica Harcerska Trzy Morgi,"97-510, Stobnica 79A, leśnictwo Grzegorzówka","97-510, Polska",Leśnictwo Stobnica. Nadleśnictwo Piotrków,51.25709,19.894162
74,Baza Obozowa Hufca ZHP Powiatu Trzebnickiego w Lginiu,"67-400 Wschowa, Lgiń 99c, Nadleśnictwo Włoszakowice, jezioro Lgińsko Małe",BRAK,BRAK,51.873308,16.232125
75,Harcerska Baza Obozowa Cyranka - Przerwanki,"11-610, Przerwanki, bez numeru, leśnictwo Wilkus",BRAK,BRAK,54.131398,21.942455
76,"Harcerska Baza Obozowa ""Krzeczków""","66-232 Mostki, leśnictwo Krzeczkowo",BRAK,BRAK,52.229432,15.410354
77,Stanica Harcerska Biały Brzeg,"29-120 Kluczewsko, leśnictwo Wymysłów ",BRAK,BRAK,51.032632,19.876627
78,Harcerska Baza Obozowa Hufca ZHP Legnica w Zaborówcu,"64-150 Wijewo, Leśniczówka-Papiernia pow. Leszno, woj. Wielkopolskie",BRAK,BRAK,51.919807,16.285029
79,"""Harcerska Polana"" w Strużnicy",58-533 Mysłakowice Strużnica leśnictwo Strużnica,BRAK,BRAK,50.826501,15.887003 
80,Kostiuchnówka,"44630 Kostiuchnówka, ul. Centralna 80a, leśnictwo Wołczeck, rejon Maniewicze, obwód wołyński, Ukraina",BRAK,BRAK,51.350381,25.754929
81,Harcerski Ośrodek Obozowy PÓLKO,"86-010 Koronowo, leśnictwo Pólko, Nadleśnictwo Różanna Harcerski Ośrodek Obozowy PÓLKO",BRAK,BRAK,53.320222,17.988224
82,Baza harcerska  Garbaś,"16-424 l Filipów,  Garbas ",BRAK,BRAK,54.203972,22.800309
83,"Ośrodek Szkolno Wypoczynkowy ""Pajęczyna"" Hufca ZHP Jarocin","62-085 Skoki, Rościnno, nadleśnictwo Durowo, Leśnictwo Owczegłowy",BRAK,BRAK,52.695285,17.115776
